Comparisons    Time
324            0.00
1050            2.00
806            2.00
138            0.00
834            1.00
215            1.00
1031            1.00
458            1.00
608            2.00
781            2.00
268            1.00
429            1.00
525            1.00
753            1.00
866            1.00
767            1.00
505            1.00
384            1.00
730            1.00
899            2.00
1008            2.00
528            1.00
921            1.00
426            1.00
562            1.00
910            2.00
654            2.00
880            1.00
279            1.00
447            1.00
616            1.00
887            2.00
254            1.00
418            1.00
313            1.00
1040            1.00
425            1.00
464            1.00
964            2.00
165            0.00
983            2.00
788            2.00
790            1.00
421            1.00
272            0.00
188            0.00
908            1.00
748            1.00
1030            2.00
1030            2.00
136            1.00
757            1.00
447            0.00
576            1.00
295            1.00
846            1.00
628            1.00
512            1.00
563            1.00
768            2.00
603            1.00
970            2.00
265            1.00
966            2.00
219            0.00
194            0.00
667            1.00
419            1.00
337            0.00
470            1.00
618            1.00
665            1.00
820            2.00
461            1.00
769            1.00
742            2.00
615            2.00
354            1.00
904            2.00
692            2.00
888            2.00
611            1.00
581            1.00
371            0.00
656            2.00
219            1.00
951            1.00
881            2.00
948            2.00
372            1.00
391            1.00
790            1.00
754            2.00
1040            2.00
396            1.00
878            2.00
221            1.00
661            1.00
765            1.00
373            1.00
509            1.00
389            1.00
546            1.00
559            1.00
556            1.00
782            1.00
550            1.00
1011            2.00
768            1.00
213            0.00
244            1.00
497            1.00
713            1.00
617            2.00
815            1.00
583            2.00
294            0.00
277            0.00
263            1.00
158            1.00
795            1.00
142            0.00
370            1.00
431            1.00
1031            2.00
573            1.00
1046            2.00
441            0.00
421            1.00
918            2.00
149            1.00
385            1.00
489            1.00
651            2.00
600            1.00
339            1.00
862            1.00
309            1.00
494            1.00
230            0.00
186            1.00
517            1.00
645            2.00
420            1.00
614            1.00
241            0.00
298            1.00
234            0.00
588            1.00
303            1.00
690            2.00
185            1.00
276            1.00
499            1.00
335            1.00
821            2.00
279            1.00
824            1.00
218            0.00
778            1.00
878            2.00
253            1.00
614            1.00
240            1.00
487            1.00
508            1.00
638            1.00
714            1.00
653            2.00
319            1.00
940            2.00
590            1.00
442            1.00
791            1.00
458            1.00
485            1.00
965            2.00
684            1.00
902            2.00
233            0.00
658            2.00
398            1.00
616            1.00
795            2.00
382            1.00
956            2.00
902            2.00
620            1.00
582            1.00
598            1.00
597            1.00
352            1.00
635            1.00
1036            2.00
864            2.00
650            1.00
974            2.00
508            1.00
470            1.00
292            1.00
829            1.00
410            1.00
485            1.00
261            0.00
571            1.00
642            2.00
801            1.00
837            2.00
301            1.00
978            2.00
405            1.00
1033            2.00
145            0.00
999            2.00
980            2.00
475            2.00
811            2.00
519            2.00
945            1.00
162            1.00
924            2.00
968            2.00
898            2.00
735            1.00
993            2.00
316            0.00
773            2.00
892            2.00
840            2.00
824            2.00
840            1.00
461            1.00
909            2.00
606            2.00
463            1.00
549            1.00
563            1.00
844            2.00
324            0.00
238            0.00
269            1.00
540            1.00
350            1.00
401            0.00
527            1.00
438            1.00
978            2.00
938            2.00
1024            2.00
771            1.00
302            1.00
1004            2.00
333            1.00
371            1.00
657            1.00
601            1.00
344            1.00
158            0.00
279            1.00
178            0.00
703            1.00
557            1.00
211            0.00
294            1.00
481            1.00
386            1.00
439            1.00
931            2.00
365            1.00
858            1.00
832            2.00
216            1.00
367            1.00
324            1.00
735            1.00
279            0.00
267            0.00
1031            2.00
871            2.00
473            2.00
1025            2.00
591            1.00
962            2.00
225            0.00
674            1.00
981            2.00
390            1.00
375            1.00
663            1.00
335            1.00
566            2.00
208            0.00
414            1.00
520            1.00
514            1.00
196            0.00
449            1.00
216            0.00
668            1.00
463            1.00
736            2.00
465            1.00
698            2.00
983            2.00
877            2.00
700            2.00
312            1.00
399            1.00
435            2.00
840            3.00
385            1.00
993            4.00
572            2.00
165            1.00
254            1.00
1036            1.00
619            2.00
151            1.00
169            0.00
1035            3.00
878            3.00
861            3.00
976            1.00
896            2.00
132            0.00
319            1.00
657            2.00
266            1.00
757            2.00
693            1.00
496            1.00
557            1.00
296            0.00
293            1.00
801            2.00
859            1.00
254            1.00
527            1.00
802            2.00
684            2.00
557            2.00
809            2.00
595            1.00
923            2.00
642            2.00
163            1.00
885            2.00
880            2.00
541            2.00
321            1.00
758            1.00
819            2.00
212            1.00
259            1.00
231            1.00
924            2.00
746            2.00
714            1.00
344            1.00
861            2.00
193            0.00
772            2.00
917            2.00
298            1.00
490            1.00
286            1.00
175            0.00
580            2.00
609            2.00
509            1.00
621            2.00
369            1.00
921            1.00
576            2.00
650            2.00
921            3.00
778            1.00
370            2.00
601            2.00
997            2.00
599            2.00
166            1.00
467            1.00
562            1.00
346            1.00
449            1.00
772            1.00
202            1.00
217            1.00
341            0.00
649            1.00
410            1.00
205            0.00
614            1.00
637            2.00
854            1.00
1035            3.00
432            1.00
511            2.00
884            2.00
236            0.00
219            1.00
371            1.00
917            2.00
801            3.00
